"random_state","timestamp","dataset","n","d","method","n_clusters","n_threads","elapsed_time","ar","r","fm","afm","mi","nmi","ami","nacc","psi"
1,1594441501.2987244,"g2mg_2_30",10000,2,"Genie_0.3_approx",2,"6",0.35941219329833984,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.3026752,"g2mg_2_30",10000,2,"Genie_0.1_approx",2,0,0.001500844955444336,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.3066928,"g2mg_2_30",10000,2,"Genie_0.3_approx",2,0,0.0015916824340820312,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.3108077,"g2mg_2_30",10000,2,"Genie_0.5_approx",2,0,0.0017085075378417969,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.3148358,"g2mg_2_30",10000,2,"Genie_0.7_approx",2,0,0.001621246337890625,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.3163602,"g2mg_2_30",10000,2,"Genie_1.0_approx",2,0,0.0014390945434570312,0.0,0.49995647564756474,0.7070052808084222,0.0,6.93197185559491e-05,0.0001997202337923112,-3.696870344503687e-15,0.0036000000000000476,0.00010001000100006503
1,1594441501.3603466,"g2mg_2_30",10000,2,"Genie_0.3_mlpack",2,1,0.04157209396362305,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.5249667,"g2mg_2_30",10000,2,"Genie_0.3_nomlpack",2,"6",0.16188883781433105,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.5293317,"g2mg_2_30",10000,2,"Genie_0.1",2,0,0.0016510486602783203,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.5337045,"g2mg_2_30",10000,2,"Genie_0.3",2,0,0.0017750263214111328,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.5379124,"g2mg_2_30",10000,2,"Genie_0.5",2,0,0.0016894340515136719,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.5419612,"g2mg_2_30",10000,2,"Genie_0.7",2,0,0.0015802383422851562,0.961180278997983,0.9805901390139014,0.9805921603581635,0.9611803132629932,0.6417202885981438,0.9259424359032791,0.9259370918082778,0.9803999999999999,0.9649580348843945
1,1594441501.5434713,"g2mg_2_30",10000,2,"Genie_1.0",2,0,0.001424551010131836,0.0,0.49995647564756474,0.7070052808084222,0.0,6.93197185559491e-05,0.0001997202337923112,-3.696870344503687e-15,0.0036000000000000476,0.00010001000100006503
1,1594441501.9776735,"g2mg_5_30",10000,5,"Genie_0.3_approx",2,"6",0.3942601680755615,0.9475023101505722,0.9737511551155116,0.9737498476647154,0.9475023110508032,0.6226525793548561,0.8983303058649575,0.8983229700515644,0.9734,0.9689416385515495
1,1594441501.9817867,"g2mg_5_30",10000,5,"Genie_0.1_approx",2,0,0.0016713142395019531,0.9475023101505722,0.9737511551155116,0.9737498476647154,0.9475023110508032,0.6226525793548561,0.8983303058649575,0.8983229700515644,0.9734,0.9689416385515495
1,1594441501.9859061,"g2mg_5_30",10000,5,"Genie_0.3_approx",2,0,0.0016558170318603516,0.9475023101505722,0.9737511551155116,0.9737498476647154,0.9475023110508032,0.6226525793548561,0.8983303058649575,0.8983229700515644,0.9734,0.9689416385515495
1,1594441501.9898765,"g2mg_5_30",10000,5,"Genie_0.5_approx",2,0,0.0014796257019042969,0.9475023101505722,0.9737511551155116,0.9737498476647154,0.9475023110508032,0.6226525793548561,0.8983303058649575,0.8983229700515644,0.9734,0.9689416385515495
1,1594441501.9913747,"g2mg_5_30",10000,5,"Genie_0.7_approx",2,0,0.0013899803161621094,0.00010498906283543817,0.5000127212721273,0.7047153116566671,0.0001261339961587362,0.0023775444751585884,0.006642510054280353,0.006501597810971734,0.011200000000000099,0.003441754194070948
1,1594441501.9927492,"g2mg_5_30",10000,5,"Genie_1.0_approx",2,0,0.0012848377227783203,0.0,0.4999588158815882,0.7070069361874505,0.0,6.93197185559491e-05,0.0001997202337923112,-3.696870344503687e-15,0.0041999999999999815,0.00010001000100006503
1,1594441502.2698853,"g2mg_5_30",10000,5,"Genie_0.3_mlpack",2,1,0.2747001647949219,0.9475023101505722,0.9737511551155116,0.9737498476647154,0.9475023110508032,0.6226525793548561,0.8983303058649575,0.8983229700515644,0.9734,0.9689416385515495
