# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 21 indicators, each mapped onto the 0-10 scale.
"Country","SufficientFood","SufficientWater","SafeSanitation","Education","HealthyLife","GenderEquality","IncomeDistribution","PopulationGrowth","GoodGovernance","Biodiversity","RenewableWaterResources","Consumption","EnergyUse","EnergySavings","GreenhouseGases","RenewableEnergy","OrganicFarming","GenuineSavings","GDP","Employment","PublicDebt"
"Belgium",10,10,9.95,10,8.51666666666667,7.53,8.0454594542382,7.03554975021659,7.57915478944778,7.41354208264532,6.72,1,1,8.67832672196177,2.1696,1,7.33556141547908,8.49440142668203,9.53263789844341,4.27414931948727,1
"Benin",9.25,7.78,1.96,7.310491,5.41666666666667,5.885,3.86112687242781,2.27587424628336,4.31605252499382,5.5,9.95074,6.988332508915,9.19,3.6328125,9.4581,5.34092928723733,1.15839080675526,8.43884574249239,1.42487558086004,9.0483741803596,8.21965168662475
"Bhutan",10,10,5.01,6.824704,6.86666666666667,6.46,5.19039041962013,5.25353325235978,5.58090644081434,9.50807382532729,9.95668,1,9.236,1,9.1815,3.02944461774306,3.5731750729597,8.95721551529251,4.46827467079505,7.55783745059583,1
"Bolivia",8.41,9,5.01,8.373826,7.08333333333333,7.49,1,4.94492834387014,3.80779396245877,5.5,9.96362,2.36112899140023,8.422,1,4.9505,1.48041337688383,1.66973803587556,8.26623391337901,3.60967966336007,7.63379490696776,7.47422434713478
"Bosnia-Herzegovina",10,9.99,5.02,7.798262,8.1,7,6.79543973265928,8.24535766333137,4.60049232592185,3.17498852539063,9.91256,5.41365666910137,5.902,1,4.3361,2.55952192277922,1.03723596304454,8.58819925023878,5.18818131257671,1,7.4980552042055
"Botswana",7.59,9.62,6.33,7.693154,6.15,7.1,1,3.95940989577875,6.2863484621048,6.44699857074798,9.8415,5.11169642209067,7.552,1,6.9011,1.99807622082305,1.27213150281566,9.5451631121837,6.77456270419978,1.62025738572297,9.55649323434393
"Brazil",10,9.81,8.27,8.935444,7.58333333333333,6.86,1,6.3265361879542,4.90267359185964,6.7144107421029,9.91352,2.66051125680137,7.056,2.51680358476475,7.6901,3.85787670547926,1.59332968609467,8.09690060024675,6.33998025772134,5.06616982702638,1.87671719022292
"Bulgaria",10,9.94,8.6,9.042081,7.73333333333333,7.22,3.98917759451556,8.96840456046415,5.24178127944469,8.83578492426375,7.433,5.87577546073827,5.044,4.36905254447662,4.168,1,5.1063454222024,8.60813686860664,7.34602868912897,3.13486168924058,8.93734181134048
"Burkina Faso",7.93,8.21,1.94,4.653581,5.43333333333333,6.51,4.84812687495636,1.59141839016571,3.94947088758151,6.27247807017544,9.341,6.38139649153274,9.322,5.36337209302325,9.8466,8.34119150020235,1.37032884660156,8.51340737704794,1.19122159743341,7.33446963218984,8.78550693460944
"Burundi",10,7.58,4.8,6.239812,5.36666666666667,7.48,7.80745353306019,1,3.0309584736824,7.27177764797508,9.7703,8.06144244415359,9.322,5.36337209302325,9.8466,8.34119150020235,1.0154802760904,1.62012627345005,1,5.01576064282653,8.21815210206123
