"method","user.self","sys.self","elapsed","Δdist","Σdist","Δidx","n","d","k","nthreads","time"
"py_sklearn_neighbours",0.109999999999999,0,0.109999999999999,0,64788.6666554405,0,10000,5,10,1,1750757174
"r_genieclust_fastmst",0.0400000000000009,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757179
"pico_tree",0.0370000000000008,0,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_dbscan",0.0949999999999989,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_kd",0.119999999999999,0.002,0.120999999999999,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_bd",0.174999999999999,0.001,0.176000000000002,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_Rnanoflann",3.331,0.001,3.332,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_nabor",0.0449999999999982,0,0.0459999999999994,-7585.67199409403,57202.9946613465,100000,10000,5,10,1,1750757179
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_pykdtree",0.0489999999999995,0,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_sklearn_neighbours",0.108999999999998,0.001,0.109000000000002,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_genieclust_fastmst",0.0400000000000027,0,0.0399999999999991,0,64788.6666554405,0,10000,5,10,1,1750757179
"pico_tree",0.036999999999999,0,0.0380000000000003,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_dbscan",0.0940000000000012,0,0.0940000000000012,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_kd",0.120999999999999,0.001,0.122,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_bd",0.175000000000001,0.001,0.177,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_Rnanoflann",3.332,0,3.332,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_nabor",0.0449999999999982,0,0.0449999999999982,-7585.67199409403,57202.9946613465,100000,10000,5,10,1,1750757179
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000004,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_pykdtree",0.0470000000000006,0.001,0.0479999999999983,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_sklearn_neighbours",0.109999999999999,0,0.109999999999999,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_genieclust_fastmst",0.0399999999999991,0.001,0.0410000000000039,0,64788.6666554405,0,10000,5,10,1,1750757179
"pico_tree",0.0380000000000003,0,0.036999999999999,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_dbscan",0.0949999999999989,0,0.095000000000006,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_kd",0.119,0.003,0.122,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_rann_bd",0.177,0,0.177,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_Rnanoflann",3.318,0.001,3.319,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_nabor",0.0450000000000017,0,0.0449999999999946,-7585.67199409403,57202.9946613465,100000,10000,5,10,1,1750757179
"py_genieclust_fastmst",0.0410000000000004,0,0.0410000000000039,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_pykdtree",0.0480000000000018,0.001,0.0489999999999995,0,64788.6666554405,0,10000,5,10,1,1750757179
"py_sklearn_neighbours",0.109999999999999,0,0.109999999999999,0,64788.6666554405,0,10000,5,10,1,1750757179
"r_genieclust_brute",0.145,0,0.144,0,4489.32724425109,0,10000,5,1,1,1750757260
