# apollo 2025-06-30 21:00
#
# GNU/Linux 6.13.0-1-default #1 SMP PREEMPT_DYNAMIC Mon Jan 20 07:26:08 UTC 2025 (1513344) x86_64 openSUSE Tumbleweed
# Intel Core i7-1355U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 14.2.1
# Python 3.11.11 [gcc] OpenBLAS 0.3.29
# R version 4.4.2 (2024-10-31) Rblas
#
# Python modules:
#                numba 0.61.2
#               cython 3.1.2
#                numpy 2.2.6
#                scipy 1.16.0
#              sklearn 1.7.0
#               mlpack 4.6.1
#              hdbscan 0.8.40
#         fast_hdbscan 0.2.2* (because numba)
#                 rpy2 3.6.1
#
# R packages (via rpy2):
#               mlpack 4.6.2*
#
#
# * - compiled with -O3 -march=native
method,elapsed,Δdist,Σdist,Δidx,n,d,M,s,nthreads,trial,seed,time,host
quitefast_kdtree_single,0.8600695133209229,0.0,3552.7409094183827,0,1208592,2,1,norm,10,3,123,1751310828,apollo
quitefast_kdtree_dual,1.3227126598358154,0.0,3552.7409094183827,0,1208592,2,1,norm,10,3,123,1751310829,apollo
fasthdbscan_kdtree,10.87864375114441,1.0169560482609086e-07,3552.7409095200783,48,1208592,2,1,norm,10,3,123,1751310840,apollo
hdbscan_kdtree,16.045257806777954,0.0,3552.7409094183827,0,1208592,2,1,norm,10,3,123,1751310856,apollo
r_quitefast_default,0.899416446685791,0.0,3552.7409094183827,0,1208592,2,1,norm,10,3,123,1751310857,apollo
quitefast_kdtree_single,0.6955881118774414,0.0,9221.059928717787,0,1208592,2,10,norm,10,1,123,1751310858,apollo
quitefast_kdtree_dual,2.267728805541992,0.0,9221.059928717787,0,1208592,2,10,norm,10,1,123,1751310860,apollo
fasthdbscan_kdtree,5.795258283615112,1.6370904631912708e-11,9221.059928717803,17356,1208592,2,10,norm,10,1,123,1751310866,apollo
hdbscan_kdtree,14.243694067001343,-1.8189894035458565e-12,9221.059928717785,18336,1208592,2,10,norm,10,1,123,1751310881,apollo
r_quitefast_default,0.72540283203125,0.0,9221.059928717787,0,1208592,2,10,norm,10,1,123,1751310881,apollo
quitefast_kdtree_single,0.6775906085968018,0.0,9221.059928717787,0,1208592,2,10,norm,10,2,123,1751310882,apollo
quitefast_kdtree_dual,2.273216724395752,0.0,9221.059928717787,0,1208592,2,10,norm,10,2,123,1751310884,apollo
fasthdbscan_kdtree,5.663692951202393,1.6370904631912708e-11,9221.059928717803,17315,1208592,2,10,norm,10,2,123,1751310890,apollo
hdbscan_kdtree,14.442179203033447,-1.8189894035458565e-12,9221.059928717785,18336,1208592,2,10,norm,10,2,123,1751310905,apollo
r_quitefast_default,0.7169430255889893,0.0,9221.059928717787,0,1208592,2,10,norm,10,2,123,1751310906,apollo
quitefast_kdtree_single,0.705394983291626,0.0,9221.059928717787,0,1208592,2,10,norm,10,3,123,1751310906,apollo
quitefast_kdtree_dual,2.26876163482666,0.0,9221.059928717787,0,1208592,2,10,norm,10,3,123,1751310909,apollo
fasthdbscan_kdtree,5.658269166946411,1.6370904631912708e-11,9221.059928717803,17338,1208592,2,10,norm,10,3,123,1751310915,apollo
hdbscan_kdtree,14.371168613433838,-1.8189894035458565e-12,9221.059928717785,18336,1208592,2,10,norm,10,3,123,1751310929,apollo
