# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 3 SSI dimensions, being the geometric means
# of the underlying 3+2+3 categories.
"Country","HumanWellbeing","EnvironmentalWellbeing","EconomicWellbeing"
"Kenya",4.4013190537148,7.3554196901032,3.22097033207657
"Korea, North",6.24193190074375,5.55566210920067,3.87544184097859
"Korea, South",8.34292986003313,2.4965214372804,6.83569703893247
"Kuwait",6.25780400974881,2.34180826146409,6.30164181892672
"Kyrgyz Republic",6.97947365790807,4.94593790862895,2.24556278947129
"Laos",6.12412858900115,5.51011169846084,3.40692954803088
"Latvia",8.04044642959693,4.73016198313481,6.62098322215967
"Lebanon",5.58383814573303,3.89890070340232,2.47359887219887
"Lesotho",4.70071315258998,7.92898285160088,2.40258121879851
"Liberia",4.54149983121441,7.1470288560882,2.20151546462759
"Libya",6.7306316564671,2.79182299034209,2.55858732022147
"Lithuania",8.12432322734014,4.0231594707648,6.92984301014856
"Luxembourg",7.47738284684977,2.56053182960668,7.7293788586688
"Macedonia",7.060622147322,5.44003347140334,3.76285570719767
"Madagascar",4.11205799814284,7.59344800861003,2.92140737443039
"Malawi",4.64217767050302,7.76824864170177,2.30704348475561
"Malaysia",6.58337476559564,3.46851527941899,5.08693990046116
"Mali",4.66880121352345,7.12657007783752,3.37156400499831
"Malta",8.20860566168839,4.55178533478674,4.95134779234677
"Mauritania",4.95393731231601,6.14840751407742,1.27914544586841
"Mauritius",7.88719502061641,4.76347410680155,4.09426006140589
"Mexico",6.33914325970368,4.88621913301555,6.31728032599947
"Moldova",7.57701729704999,5.41736316331015,5.24676737199975
"Mongolia",6.44990828199016,2.93856731591302,4.34538289809536
"Montenegro",7.88878657511251,6.73544525828067,3.49990920258034
"Morocco",6.55305517904736,5.14120598023701,3.52413027426691
"Mozambique",4.05515922568442,7.55439155387482,1.56342624849541
"Myanmar",5.36011691013932,4.84657920350246,4.65840994463859
"Namibia",4.65605622383324,5.58056739551766,3.81605528847415
"Nepal",6.43874587615521,7.28260253384397,4.333382111863
"Netherlands",8.8403348675941,3.14830996418178,5.96659897053384
"New Zealand",7.97635867210379,3.03566062936705,6.54212639249899
"Nicaragua",5.83469883378107,5.70132856211498,5.01809608389543
"Niger",3.89519376043399,6.78329280683245,3.2099059305264
"Nigeria",4.35955417800057,6.68633370387903,4.22888740453818
"Norway",8.76049962239403,3.66639764872676,8.43230773547131
"Oman",6.09249857302637,2.03786145600479,3.317884592821
"Pakistan",5.7618720703214,5.7113564289982,3.67371385273287
"Panama",5.76660058927095,5.17724929713671,6.24601874616011
"Papua New Guinea",4.19937242009567,4.63401252862001,4.99892883090615
"Paraguay",5.80091430065702,5.68283943843327,5.11383411924176
"Peru",6.09908414619625,4.64689919768965,6.34093303950649
"Philippines",6.60873598948456,6.26195478276326,5.38736409475864
"Poland",8.41979163869893,4.24361431208885,6.60974264532114
"Portugal",8.20319949871871,5.1942651139524,4.04448938764735
"Qatar",5.00274458775977,1.52177703718854,5.8400522928825
"Romania",8.08654463330024,5.57675748664418,6.69644993950807
"Russia",6.88595953750462,2.46385432094105,5.50922280999595
"Rwanda",5.16299049030725,7.77535652183921,3.88144658950153
"Saudi Arabia",6.97878997025307,1.8946131486026,5.53968434371698
"Senegal",4.83528869881533,7.63849844531545,3.16349107331461
"Serbia",8.17183103657193,5.22300410713596,2.64877231343682
"Sierra Leone",4.39392887102376,7.27379579745962,3.26530496053237
"Singapore",7.39845802120874,2.45377691357614,3.7165619546619
"Slovak Republic",8.26127367524805,4.86198387322066,6.01097395784661
"Slovenia",8.74764161963968,4.8823291715365,5.22655599412228
"South Africa",5.58015097683925,4.24427217627306,3.01480628462003
"Spain",7.90556317528316,5.01551076179053,3.60541859509119
"Sri Lanka",7.13787257961813,6.39861717515259,4.90227614554713
"Sudan",4.53422504077047,5.37406930450252,3.08637750377077
"Sweden",8.75205991064347,3.82496588816338,7.91139940634969
"Switzerland",8.47275915508899,5.21215022097321,8.37788962023471
"Syria",6.11847611615481,4.34295275933563,3.37120412315564
"Taiwan",8.24020622308946,2.49364839990319,6.46332526569513
"Tajikistan",6.13368201992825,5.31457006957,3.53842672688082
"Tanzania",4.03126780204757,7.39579234540599,4.61651762692167
"Thailand",7.34269718662021,4.79443886347575,5.67599899456682
"Togo",4.07465276106922,8.12049545523588,2.14352845386361
"Trinidad and Tobago",6.98406014869469,3.1132327779867,3.44221055991876
"Tunisia",7.20921943540888,4.45891478551569,3.91189532290167
"Turkey",6.9431290899152,3.92024962270427,6.3843926319193
"Turkmenistan",5.831607680733,1.68145549778799,4.93993678687875
"Uganda",4.19375933032755,7.85762647271102,4.65251448705213
"Ukraine",7.95865737040174,4.80508918855904,2.87944394113817
"United Arab Emirates",7.49662001309262,1.87207807887502,6.8438458848534
"United Kingdom",8.49353549820304,4.55907089431163,4.58932824370944
"United States",7.50376097320094,2.58043634026601,3.96005792631637
"Uruguay",7.4580310462185,4.88296705018911,6.45914628348129
"Uzbekistan",6.56349336149595,5.10001835520369,3.97602928538626
"Venezuela",5.52951888597583,5.05471554365267,4.60205441545139
"Vietnam",6.70610934600835,5.20863825541469,4.54205822394498
"Yemen",4.73815258151194,3.99633710538108,1.79173389239697
"Zambia",3.97720239175677,7.66661628755239,2.98363599436015
"Zimbabwe",4.43887501484231,7.04814385485887,3.24811659969343
