"timestamp","dataset","method","n_clusters","n_threads","elapsed_time"
1594375116.366168,"g2mg/g2mg_16_30","sklearn_kmeans",100,1,0.5964062213897705
1594375116.4137008,"g2mg/g2mg_16_30","Genie_0.3",100,3,0.026720046997070312
1594375116.5499833,"g2mg/g2mg_16_30","Genie_0.3_approx",100,3,0.13625407218933105
1594375117.1659086,"g2mg/g2mg_16_30","sklearn_kmeans",100,3,0.6158950328826904
1594375117.206179,"g2mg/g2mg_16_30","Genie_0.3",100,6,0.017817258834838867
1594375117.296551,"g2mg/g2mg_16_30","Genie_0.3_approx",100,6,0.09034037590026855
1594375117.9140189,"g2mg/g2mg_16_30","sklearn_kmeans",100,6,0.6174376010894775
1594375117.9720237,"g2mg/g2mg_16_30","Genie_0.3",100,12,0.03537106513977051
1594375118.0467765,"g2mg/g2mg_16_30","Genie_0.3_approx",100,12,0.07472062110900879
1594375118.6427877,"g2mg/g2mg_16_30","sklearn_kmeans",100,12,0.5959804058074951
1594375118.6941345,"g2mg/g2mg_16_30","Genie_0.3",1000,1,0.029010772705078125
1594375119.003621,"g2mg/g2mg_16_30","Genie_0.3_approx",1000,1,0.30945825576782227
1594375123.8126235,"g2mg/g2mg_16_30","sklearn_kmeans",1000,1,4.8089704513549805
1594375123.8499298,"g2mg/g2mg_16_30","Genie_0.3",1000,3,0.016244888305664062
1594375123.9835567,"g2mg/g2mg_16_30","Genie_0.3_approx",1000,3,0.13359928131103516
1594375128.7534535,"g2mg/g2mg_16_30","sklearn_kmeans",1000,3,4.769866228103638
1594375128.7912564,"g2mg/g2mg_16_30","Genie_0.3",1000,6,0.017093181610107422
1594375128.8892376,"g2mg/g2mg_16_30","Genie_0.3_approx",1000,6,0.09795165061950684
1594375133.6825402,"g2mg/g2mg_16_30","sklearn_kmeans",1000,6,4.7932024002075195
1594375133.7883842,"g2mg/g2mg_16_30","Genie_0.3",1000,12,0.08487439155578613
1594375133.8647013,"g2mg/g2mg_16_30","Genie_0.3_approx",1000,12,0.07627487182617188
1594375138.7090194,"g2mg/g2mg_16_30","sklearn_kmeans",1000,12,4.844285726547241
1594375138.709538,"g2mg/g2mg_16_30","Genie_0.1",10,0,0.0004780292510986328
1594375138.7098913,"g2mg/g2mg_16_30","Genie_0.3",10,0,0.00033545494079589844
1594375138.7101994,"g2mg/g2mg_16_30","Genie_0.5",10,0,0.0002932548522949219
1594375138.710604,"g2mg/g2mg_16_30","Genie_0.1",100,0,0.0003902912139892578
1594375138.7109354,"g2mg/g2mg_16_30","Genie_0.3",100,0,0.0003173351287841797
1594375138.7112305,"g2mg/g2mg_16_30","Genie_0.5",100,0,0.0002815723419189453
1594375138.7114823,"g2mg/g2mg_16_30","Genie_0.1",1000,0,0.00023818016052246094
1594375138.7117157,"g2mg/g2mg_16_30","Genie_0.3",1000,0,0.00021958351135253906
1594375138.711938,"g2mg/g2mg_16_30","Genie_0.5",1000,0,0.0002086162567138672
1594375138.842463,"g2mg/g2mg_32_30","Genie_0.3",10,1,0.052582502365112305
1594375139.1997344,"g2mg/g2mg_32_30","Genie_0.3_approx",10,1,0.35724401473999023
1594375139.3783417,"g2mg/g2mg_32_30","sklearn_kmeans",10,1,0.17857742309570312
1594375139.4235735,"g2mg/g2mg_32_30","Genie_0.3",10,3,0.02491307258605957
1594375139.5676658,"g2mg/g2mg_32_30","Genie_0.3_approx",10,3,0.14406490325927734
1594375139.708923,"g2mg/g2mg_32_30","sklearn_kmeans",10,3,0.14122629165649414
1594375139.7544737,"g2mg/g2mg_32_30","Genie_0.3",10,6,0.025389432907104492
1594375139.8634033,"g2mg/g2mg_32_30","Genie_0.3_approx",10,6,0.1088857650756836
1594375140.0413325,"g2mg/g2mg_32_30","sklearn_kmeans",10,6,0.17789626121520996
1594375140.1413877,"g2mg/g2mg_32_30","Genie_0.3",10,12,0.07780146598815918
1594375140.2234695,"g2mg/g2mg_32_30","Genie_0.3_approx",10,12,0.08204030990600586
1594375140.4291189,"g2mg/g2mg_32_30","sklearn_kmeans",10,12,0.20561861991882324
1594375140.507211,"g2mg/g2mg_32_30","Genie_0.3",100,1,0.0560605525970459
1594375140.8555534,"g2mg/g2mg_32_30","Genie_0.3_approx",100,1,0.3483133316040039
1594375141.5288513,"g2mg/g2mg_32_30","sklearn_kmeans",100,1,0.6732673645019531
1594375141.592065,"g2mg/g2mg_32_30","Genie_0.3",100,3,0.0426173210144043
1594375141.748801,"g2mg/g2mg_32_30","Genie_0.3_approx",100,3,0.1567070484161377
1594375142.3840773,"g2mg/g2mg_32_30","sklearn_kmeans",100,3,0.6352462768554688
1594375142.4303164,"g2mg/g2mg_32_30","Genie_0.3",100,6,0.025643110275268555
1594375142.5364645,"g2mg/g2mg_32_30","Genie_0.3_approx",100,6,0.10611677169799805
1594375143.1972234,"g2mg/g2mg_32_30","sklearn_kmeans",100,6,0.6607284545898438
1594375143.315422,"g2mg/g2mg_32_30","Genie_0.3",100,12,0.09597206115722656
1594375143.397985,"g2mg/g2mg_32_30","Genie_0.3_approx",100,12,0.08252382278442383
1594375144.051757,"g2mg/g2mg_32_30","sklearn_kmeans",100,12,0.6537430286407471
1594375144.1298702,"g2mg/g2mg_32_30","Genie_0.3",1000,1,0.05592918395996094
1594375144.479201,"g2mg/g2mg_32_30","Genie_0.3_approx",1000,1,0.3493015766143799
1594375149.994591,"g2mg/g2mg_32_30","sklearn_kmeans",1000,1,5.515359401702881
1594375150.047682,"g2mg/g2mg_32_30","Genie_0.3",1000,3,0.03234052658081055
1594375150.2058887,"g2mg/g2mg_32_30","Genie_0.3_approx",1000,3,0.15817546844482422
1594375155.817638,"g2mg/g2mg_32_30","sklearn_kmeans",1000,3,5.611717939376831
1594375155.859044,"g2mg/g2mg_32_30","Genie_0.3",1000,6,0.02086162567138672
1594375155.9701188,"g2mg/g2mg_32_30","Genie_0.3_approx",1000,6,0.11103248596191406
1594375161.5516195,"g2mg/g2mg_32_30","sklearn_kmeans",1000,6,5.581469535827637
1594375161.660854,"g2mg/g2mg_32_30","Genie_0.3",1000,12,0.08742547035217285
1594375161.7437127,"g2mg/g2mg_32_30","Genie_0.3_approx",1000,12,0.0828256607055664
1594375167.4979348,"g2mg/g2mg_32_30","sklearn_kmeans",1000,12,5.754190921783447
1594375167.498464,"g2mg/g2mg_32_30","Genie_0.1",10,0,0.0004856586456298828
1594375167.4988012,"g2mg/g2mg_32_30","Genie_0.3",10,0,0.00031757354736328125
1594375167.499111,"g2mg/g2mg_32_30","Genie_0.5",10,0,0.00029349327087402344
1594375167.4995346,"g2mg/g2mg_32_30","Genie_0.1",100,0,0.00040841102600097656
1594375167.4998488,"g2mg/g2mg_32_30","Genie_0.3",100,0,0.00029969215393066406
1594375167.50015,"g2mg/g2mg_32_30","Genie_0.5",100,0,0.0002868175506591797
1594375167.5004208,"g2mg/g2mg_32_30","Genie_0.1",1000,0,0.00025653839111328125
1594375167.500654,"g2mg/g2mg_32_30","Genie_0.3",1000,0,0.00021910667419433594
1594375167.5008838,"g2mg/g2mg_32_30","Genie_0.5",1000,0,0.00021576881408691406
1594375167.7163508,"g2mg/g2mg_64_30","Genie_0.3",10,1,0.11004638671875
1594375168.1318746,"g2mg/g2mg_64_30","Genie_0.3_approx",10,1,0.415494441986084
1594375168.3374023,"g2mg/g2mg_64_30","sklearn_kmeans",10,1,0.20549607276916504
1594375168.418493,"g2mg/g2mg_64_30","Genie_0.3",10,3,0.06047701835632324
1594375168.596159,"g2mg/g2mg_64_30","Genie_0.3_approx",10,3,0.17763519287109375
1594375168.7704642,"g2mg/g2mg_64_30","sklearn_kmeans",10,3,0.17427396774291992
1594375168.8256195,"g2mg/g2mg_64_30","Genie_0.3",10,6,0.034801483154296875
1594375168.9460979,"g2mg/g2mg_64_30","Genie_0.3_approx",10,6,0.12043571472167969
1594375169.1474168,"g2mg/g2mg_64_30","sklearn_kmeans",10,6,0.20128726959228516
1594375169.2640612,"g2mg/g2mg_64_30","Genie_0.3",10,12,0.0936882495880127
1594375169.372998,"g2mg/g2mg_64_30","Genie_0.3_approx",10,12,0.10889506340026855
1594375169.6583774,"g2mg/g2mg_64_30","sklearn_kmeans",10,12,0.28534531593322754
1594375169.806585,"g2mg/g2mg_64_30","Genie_0.3",100,1,0.12149810791015625
1594375170.2279408,"g2mg/g2mg_64_30","Genie_0.3_approx",100,1,0.4213278293609619
1594375171.0570478,"g2mg/g2mg_64_30","sklearn_kmeans",100,1,0.8290750980377197
1594375171.1448922,"g2mg/g2mg_64_30","Genie_0.3",100,3,0.0668497085571289
1594375171.3115625,"g2mg/g2mg_64_30","Genie_0.3_approx",100,3,0.1666417121887207
1594375172.0965192,"g2mg/g2mg_64_30","sklearn_kmeans",100,3,0.7849259376525879
1594375172.1661048,"g2mg/g2mg_64_30","Genie_0.3",100,6,0.048220157623291016
1594375172.3033516,"g2mg/g2mg_64_30","Genie_0.3_approx",100,6,0.13721251487731934
1594375173.1760986,"g2mg/g2mg_64_30","sklearn_kmeans",100,6,0.8727130889892578
1594375173.302551,"g2mg/g2mg_64_30","Genie_0.3",100,12,0.10327696800231934
1594375173.4093354,"g2mg/g2mg_64_30","Genie_0.3_approx",100,12,0.10674142837524414
1594375174.2630186,"g2mg/g2mg_64_30","sklearn_kmeans",100,12,0.8536500930786133
1594375174.40709,"g2mg/g2mg_64_30","Genie_0.3",1000,1,0.12128376960754395
1594375174.8219995,"g2mg/g2mg_64_30","Genie_0.3_approx",1000,1,0.4148826599121094
1594375181.9969497,"g2mg/g2mg_64_30","sklearn_kmeans",1000,1,7.17491888999939
1594375182.0822628,"g2mg/g2mg_64_30","Genie_0.3",1000,3,0.0647125244140625
1594375182.2642272,"g2mg/g2mg_64_30","Genie_0.3_approx",1000,3,0.18193387985229492
1594375189.4356298,"g2mg/g2mg_64_30","sklearn_kmeans",1000,3,7.171370029449463
1594375189.4939291,"g2mg/g2mg_64_30","Genie_0.3",1000,6,0.03738903999328613
1594375189.6323547,"g2mg/g2mg_64_30","Genie_0.3_approx",1000,6,0.1383805274963379
1594375197.0703475,"g2mg/g2mg_64_30","sklearn_kmeans",1000,6,7.437957048416138
1594375197.1837301,"g2mg/g2mg_64_30","Genie_0.3",1000,12,0.09065747261047363
1594375197.2894099,"g2mg/g2mg_64_30","Genie_0.3_approx",1000,12,0.10564565658569336
1594375204.5900495,"g2mg/g2mg_64_30","sklearn_kmeans",1000,12,7.300604820251465
1594375204.590531,"g2mg/g2mg_64_30","Genie_0.1",10,0,0.00044083595275878906
1594375204.5908513,"g2mg/g2mg_64_30","Genie_0.3",10,0,0.0003027915954589844
1594375204.591131,"g2mg/g2mg_64_30","Genie_0.5",10,0,0.0002646446228027344
1594375204.59151,"g2mg/g2mg_64_30","Genie_0.1",100,0,0.0003647804260253906
1594375204.591808,"g2mg/g2mg_64_30","Genie_0.3",100,0,0.0002834796905517578
1594375204.592079,"g2mg/g2mg_64_30","Genie_0.5",100,0,0.00025773048400878906
1594375204.5923262,"g2mg/g2mg_64_30","Genie_0.1",1000,0,0.0002338886260986328
1594375204.5925493,"g2mg/g2mg_64_30","Genie_0.3",1000,0,0.00020933151245117188
1594375204.5927646,"g2mg/g2mg_64_30","Genie_0.5",1000,0,0.00020170211791992188
1594375204.980642,"g2mg/g2mg_128_30","Genie_0.3",10,1,0.236114501953125
1594375205.5134525,"g2mg/g2mg_128_30","Genie_0.3_approx",10,1,0.5327816009521484
1594375205.7981105,"g2mg/g2mg_128_30","sklearn_kmeans",10,1,0.28462886810302734
1594375205.9296277,"g2mg/g2mg_128_30","Genie_0.3",10,3,0.11128711700439453
1594375206.1416771,"g2mg/g2mg_128_30","Genie_0.3_approx",10,3,0.21201848983764648
1594375206.338835,"g2mg/g2mg_128_30","sklearn_kmeans",10,3,0.1971263885498047
1594375206.4166372,"g2mg/g2mg_128_30","Genie_0.3",10,6,0.057662248611450195
1594375206.5606484,"g2mg/g2mg_128_30","Genie_0.3_approx",10,6,0.14398193359375
1594375206.810922,"g2mg/g2mg_128_30","sklearn_kmeans",10,6,0.2502415180206299
1594375206.9404953,"g2mg/g2mg_128_30","Genie_0.3",10,12,0.10767745971679688
1594375207.0695927,"g2mg/g2mg_128_30","Genie_0.3_approx",10,12,0.12905168533325195
1594375207.3200777,"g2mg/g2mg_128_30","sklearn_kmeans",10,12,0.25044918060302734
1594375207.5931838,"g2mg/g2mg_128_30","Genie_0.3",100,1,0.24976015090942383
1594375208.127113,"g2mg/g2mg_128_30","Genie_0.3_approx",100,1,0.5339019298553467
1594375209.2535324,"g2mg/g2mg_128_30","sklearn_kmeans",100,1,1.1263880729675293
1594375209.3658786,"g2mg/g2mg_128_30","Genie_0.3",100,3,0.09186887741088867
1594375209.5784926,"g2mg/g2mg_128_30","Genie_0.3_approx",100,3,0.2125861644744873
1594375210.6469407,"g2mg/g2mg_128_30","sklearn_kmeans",100,3,1.0684165954589844
1594375210.7540734,"g2mg/g2mg_128_30","Genie_0.3",100,6,0.08531379699707031
1594375210.9176219,"g2mg/g2mg_128_30","Genie_0.3_approx",100,6,0.16351675987243652
1594375212.0819893,"g2mg/g2mg_128_30","sklearn_kmeans",100,6,1.1643335819244385
1594375212.2212863,"g2mg/g2mg_128_30","Genie_0.3",100,12,0.11841201782226562
1594375212.3503668,"g2mg/g2mg_128_30","Genie_0.3_approx",100,12,0.1290452480316162
1594375213.4827538,"g2mg/g2mg_128_30","sklearn_kmeans",100,12,1.1323516368865967
1594375213.75259,"g2mg/g2mg_128_30","Genie_0.3",1000,1,0.24733257293701172
1594375214.291302,"g2mg/g2mg_128_30","Genie_0.3_approx",1000,1,0.5386834144592285
