# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 7 SSI categories, being the geometric means
# of the underlying 9+7+5 categories.
"Country","BasicNeeds","PersonalDevelopmentAndHealth","WellBalancedSociety","NaturalResources","ClimateAndEnergy","Transition","Economy"
"China",8.15053037812008,7.53939866747114,4.27416444832151,7.40216783160655,2.32960095405081,4.13208657119601,6.61957218889783
"Colombia",8.77328336481941,7.84192521914725,3.02783490738533,7.40918659931055,5.04452671205751,2.82988687923228,5.3524223557608
"Congo",4.2910660916385,6.25973051370129,3.16808013047509,8.14536507274947,4.71708506597499,1.12788807193607,3.16230298850977
"Congo Democratic Rep.",5.28292833811946,5.73923535282455,1.86763232863396,7.47952968103069,5.42373100816429,1.36004838528575,3.48492392603056
"Costa Rica",9.73738012225787,8.30966079752373,3.54958263873035,7.91471600502383,6.34105135751106,4.1543525730117,6.01010246055895
"Cote d'Ivoire",5.40786391959006,6.4099546430754,3.04848451446903,7.95549430642898,4.99090150789351,3.2143451143859,5.02162254847243
"Croatia",9.88916271504428,8.06237890077845,6.7320556897549,6.97780125964654,5.25560856989983,6.61067948722142,2.44375426264431
"Cuba",9.58890500621322,7.90666042654573,4.46683775419691,7.21551784898454,4.82132935671731,2.94922541792571,7.81015452835596
"Cyprus",10,7.80446475353296,6.55171259938908,5.9752735471881,3.64935646334045,5.2712608857846,2.65956488110377
"Czech Republic",9.96990954728205,8.08864766406356,7.77205561637143,6.58958016251231,1.960827722472,8.53343598183263,7.27061441025306
"Denmark",9.98664884927706,8.68236471115618,7.46098961281156,4.39164097837371,4.5571257878202,8.52259674208485,7.1036856434981
"Dominican Republic",8.54164659549782,7.37892594970428,3.84000580383535,9.08549748653101,4.84440471471937,8.94214844616671,5.00064484034431
"Ecuador",8.68814306314129,8.02446269447317,3.0933414386893,7.04352001765348,3.3994994548876,4.43476295983198,6.4613757639638
"Egypt",9.7938598215981,6.9009224026099,4.42938475849266,3.58744935890323,4.55120117536325,5.63488760195449,2.4565677984141
"El Salvador",8.45835478181904,7.33645180214729,4.79851146468774,5.9279225857029,7.08880171703956,3.20013665338546,4.80789000047507
"Estonia",9.89255638817102,8.41069066562801,7.08746889736502,4.01204309754882,1.41358225040918,9.44662023521168,7.2962183855446
"Ethiopia",4.6564093986241,5.92702285011589,3.90865819379127,7.87449147125164,7.78742780129604,4.18602713405214,3.47276263462155
"Finland",9.9193513276846,8.97317113181301,8.20312117087903,5.96656268982751,2.47101220773895,8.47828947244778,5.27901027124741
"France",9.95647752084936,8.62428797467386,6.9284954135564,5.31119043560772,3.23118427046106,7.32303466669161,3.27371077956352
"Gabon",7.30349491750105,6.54688765523914,3.62728004057411,7.75351633607904,6.42910856840123,1.19648107248698,4.09704322624556
"Gambia",7.9489777412682,5.96465317654541,1.95699649493906,7.44587081612505,8.00507404876701,2.8756968143862,1.77180295812688
"Georgia",9.28888031608002,7.60280834043951,6.01184883559024,7.22323155694901,3.67356539566489,3.06754503927767,4.69926394366787
"Germany",9.97326190447729,8.62902380534277,8.03661966821099,5.87196460958384,2.12811918670513,8.47833587349162,5.57590642029614
"Ghana",5.06122067963215,6.5882370617177,3.47657295671938,7.21445970951847,5.64439489341665,2.70667584215529,3.50566411340569
"Greece",9.96655493412596,8.39915429883457,5.51461340011958,6.83214238815438,3.80702256363106,3.4523103487942,2.02684459137757
"Guatemala",7.92843014976613,6.86381295919067,2.43103292998261,6.86661275900844,4.66269203746725,3.29706566962866,6.58428158909803
"Guinea",5.04286349414457,5.58262975628774,3.42352620898765,7.3268186654589,8.00507404876701,1.12788807193607,3.88971963313589
"Guinea-Bissau",5.02722316419814,5.80106343065203,2.0495920471536,6.56624444874538,8.00507404876701,1.1184095443651,3.34559132575402
"Guyana",8.99876279289504,6.78777744429232,3.16163196214842,5.9637836630832,4.00350287811087,1.26678130792543,4.41794859651325
"Haiti",4.18730672606139,6.25423797900924,2.43181784145028,6.02924740461159,7.33861682159264,3.49239838745377,3.73404911577265
"Honduras",8.69362534748915,7.07977353865466,2.679914003441,6.99207883405174,5.41179473849854,4.72122215246446,5.14559792740227
"Hungary",9.93288388379269,7.86245771597357,7.14297033137065,7.44695927704439,3.92533567830874,6.81039853493715,4.27702728698204
"Iceland",9.9598389247242,9.16817630574231,7.55251085083863,4.17694046391626,3.32527547574207,3.46019742603807,6.85837994793412
"India",6.80551283052141,6.71339841695591,5.49627978503195,6.65666016675147,4.22765830280034,4.12924773763785,4.34150471373712
"Indonesia",7.86239345946323,7.16850391373914,5.56638621511321,6.27199149296234,5.78508973629889,3.70146496713957,6.41590585014441
"Iran",9.52748458088926,7.32771565465986,4.55763365964159,4.70469969042591,2.29066913810049,3.01513245986819,5.6889048273356
"Iraq",8.30238723609561,6.38501438514952,2.57761822116542,4.33223717228193,2.55450696211125,1.86345639316397,2.34397175746673
"Ireland",9.60455151647933,8.84796041819954,7.39170655481462,4.2957515905842,3.12817951319818,5.56157973866788,3.13991909511754
"Israel",10,8.38420458165541,4.01904276121233,4.22270158811256,2.8842356963304,5.56923972369768,5.48601505468578
"Italy",9.98330547813691,8.34990580384493,5.46473213049912,6.3023757466394,4.49518525966397,8.0730056799652,2.97049697571102
"Jamaica",8.90069428577785,7.58843615911777,4.73573595564719,7.97873871066316,4.60507150231445,2.95658755380959,2.29511377311376
"Japan",10,8.19160758709736,7.37706834519422,7.05110132356177,2.20068078967417,3.27375114788627,4.00401340401528
"Jordan",9.84918354093932,6.97822798905241,3.82484085657315,3.01231991469013,3.63654461064984,3.68515226379252,2.64603441563387
"Kazakhstan",9.67550057836385,7.79003876036386,5.84403792452455,6.10642292280643,1.44253715073693,2.9650252477038,7.91951053874425
"Kenya",5.30934187234514,6.59435697242048,2.43520435557756,8.34758153227719,6.68948292209325,2.72399956255489,3.60169156431006
"Korea, North",7.81263081747883,7.34097038278375,4.24039490824485,4.85416384660039,6.14754716290438,3.8367095374099,3.9014803615572
"Korea, South",9.9193513276846,8.24972751679904,7.09631524805295,5.46628069790811,1.38697242698216,5.2173500740067,8.18473630497309
"Kuwait",9.96655493412596,7.18045404262244,3.42427708708962,3.57147543908502,1.70639308783875,3.76708738971315,8.88012462491593
"Kyrgyz Republic",9.21091709691214,7.38454141056605,4.99852206682535,6.85125506448625,3.87353560928837,1.60785971624844,2.80571294301059
"Laos",7.5700350870056,6.57074439566602,4.61764389060487,8.43569261694009,4.00350287811087,2.11184733965318,4.68630165902326
"Latvia",9.53864956338448,8.19854867370065,6.64686128030958,4.35709849238848,5.03077611470578,6.97333020978972,6.39603244786066
"Lebanon",9.27903707061722,6.83358472983786,2.74566135033609,5.86629306535374,2.86996096134557,1.57488328190769,3.34233421809929
"Lesotho",6.02610492410398,5.81399260979555,2.96469544924422,7.82865182639954,8.00507404876701,3.11296133218672,2.02153366900181
"Liberia",4.3872454670077,5.9997541382588,3.55854546832879,6.14430046075234,8.00507404876701,1,3.72565727014025
"Libya",9.57942642678337,7.41640976234786,4.29174834455206,2.49211898011374,3.04002537847761,3.48302598924547,2.08303193795887
"Lithuania",9.61438814699326,8.138811938512,6.85297134578894,4.19363044507355,3.89986942113663,8.49212222171081,6.05147861449881
"Luxembourg",9.9193513276846,7.89751266944354,5.33673020997933,4.24594260984553,1.75225465822536,7.37048193340979,7.97830070347683
"Macedonia",9.66755732314062,7.30907466731356,4.98138097203799,7.12972896252049,4.44117601189479,3.81063902441323,3.73133350396465
"Madagascar",3.42971021529918,6.5679965818008,3.08664973325797,7.07734853949407,8.00507404876701,1.89779633054852,3.89481768779962
"Malawi",6.57784792411938,6.31609342878242,2.40786924980434,7.4633441796404,8.00507404876701,2.47629052291979,2.20068848195997
"Malaysia",9.80530047846719,7.17839533183386,4.05375461542921,7.69057466698044,1.90889581662447,2.98244460358676,7.26183015878565
"Mali",5.66185674120098,5.41293737505552,3.32065892575413,6.10333912911516,8.00507404876701,2.78832245468858,3.82669354334714
"Malta",10,7.69079674655512,7.1917874669254,5.73834068000466,3.82585366942922,3.82354947025904,5.8824906573421
"Mauritania",6.00915890086417,5.62983133365316,3.5937051988675,4.32473033654992,8.00507404876701,1.12788807193607,1.3910920833889
"Mauritius",9.76473511613926,7.47443493982713,6.72247050508332,5.69734132353873,4.16497584061448,2.57860877012537,5.57231173796575
"Mexico",9.35156541035153,7.54432642209708,3.61066264613943,7.03696362522144,3.71675269763945,6.38712919016991,6.27113929999972
"Moldova",8.77368169847789,7.32242044985827,6.77108552304815,6.89334977745142,4.52174613752184,4.99236456833546,5.42353133550481
"Mongolia",6.70650952705074,7.53329658304517,5.31103306622913,4.30502439565292,2.20676284979762,2.87269029920897,5.72603782797336
"Montenegro",9.83797565601199,7.91299674753991,6.30643449963052,7.59155817166509,6.15733596372234,4.47364047722532,2.97157874532484
"Morocco",8.67745959762143,6.83508332374172,4.74455036462232,7.00728088381313,4.07569439649008,3.08586084191996,3.85036911916682
"Mozambique",4.26471012452913,5.98405010787574,2.61299750868936,7.64780032604579,7.48508444017645,2.98032703971456,1.01691905009492
"Myanmar",8.18873403305783,6.13537613369922,3.06524242950033,4.87455496689971,4.82570279689002,3.23294850655657,5.94288028953898
"Namibia",5.61626373243008,6.93641966241533,2.5910261356835,7.13787417167094,4.63991964659896,3.26409641228729,4.23495804063952
"Nepal",7.17662343852955,6.932259933648,5.3654834090171,8.13857105245826,6.70024131221279,3.75459864670023,4.76799689816199
"Netherlands",9.92273792792304,8.77257300921286,7.93684019465404,6.06180231469702,1.92612412062679,6.90017610849971,5.41549257461507
"New Zealand",10,8.76129697302324,5.79222764951678,4.22795837404259,2.3678004818169,5.0486659420068,7.77583662019476
"Nicaragua",7.89111744258372,7.34125861728216,3.42883275217247,7.41572202224471,4.68104741862082,4.5309214285016,5.3716445514152
