"battery","dataset","n","d","di"
"g2mg","g2mg_16_10",2048,16,10.55207309659681
"g2mg","g2mg_16_20",2048,16,10.568922900083995
"g2mg","g2mg_16_30",2048,16,10.659438941237067
"g2mg","g2mg_16_40",2048,16,10.790358360223202
"g2mg","g2mg_16_50",2048,16,10.862892659007729
"g2mg","g2mg_16_60",2048,16,10.899931859131025
"g2mg","g2mg_16_70",2048,16,10.880625902642109
"g2mg","g2mg_16_80",2048,16,10.919101323650342
"g2mg","g2mg_16_90",2048,16,10.981109878634557
"g2mg","g2mg_32_10",2048,32,17.2624325077241
"g2mg","g2mg_32_20",2048,32,17.298746448036923
"g2mg","g2mg_32_30",2048,32,17.43381752225659
"g2mg","g2mg_32_40",2048,32,17.79959966270947
"g2mg","g2mg_32_50",2048,32,17.893171779441843
"g2mg","g2mg_32_60",2048,32,18.08221427091835
"g2mg","g2mg_32_70",2048,32,18.091972704693827
"g2mg","g2mg_32_80",2048,32,18.188569591633428
"g2mg","g2mg_32_90",2048,32,18.24738311547123
"g2mg","g2mg_64_10",2048,64,26.677367576877465
"g2mg","g2mg_64_20",2048,64,26.799837660251058
"g2mg","g2mg_64_30",2048,64,27.23578910662802
"g2mg","g2mg_64_40",2048,64,27.76638993616894
"g2mg","g2mg_64_50",2048,64,28.099071460520562
"g2mg","g2mg_64_60",2048,64,28.24869368182677
"g2mg","g2mg_64_70",2048,64,28.26632800322562
"g2mg","g2mg_64_80",2048,64,28.387441565371176
"g2mg","g2mg_64_90",2048,64,28.517248923528115
"g2mg","g2mg_128_10",2048,128,40.274413660102425
"g2mg","g2mg_128_20",2048,128,40.43749058095607
"g2mg","g2mg_128_30",2048,128,41.503387752325565
"g2mg","g2mg_128_40",2048,128,42.27698149688098
"g2mg","g2mg_128_50",2048,128,42.441913503853115
"g2mg","g2mg_128_60",2048,128,42.78146063746645
"g2mg","g2mg_128_70",2048,128,43.11701288562334
"g2mg","g2mg_128_80",2048,128,43.042903931339254
"g2mg","g2mg_128_90",2048,128,43.01339681271022
"h2mg","h2mg_1_10",2048,1,0.6990955815205413
"h2mg","h2mg_1_20",2048,1,0.6298634519451214
"h2mg","h2mg_1_30",2048,1,0.4526359940483083
"h2mg","h2mg_1_40",2048,1,0.3885292457423206
"h2mg","h2mg_1_50",2048,1,0.33376227526718993
"h2mg","h2mg_1_60",2048,1,0.3164778893200201
"h2mg","h2mg_1_70",2048,1,0.34373219396695653
"h2mg","h2mg_1_80",2048,1,0.3677481848645331
"h2mg","h2mg_1_90",2048,1,0.3990461554881888
"h2mg","h2mg_2_10",2048,2,1.5954675332478152
"h2mg","h2mg_2_20",2048,2,1.5884440890569813
"h2mg","h2mg_2_30",2048,2,1.5923325779920452
"h2mg","h2mg_2_40",2048,2,1.5913710278273725
"h2mg","h2mg_2_50",2048,2,1.5910644114411663
"h2mg","h2mg_2_60",2048,2,1.5888218094802937
"h2mg","h2mg_2_70",2048,2,1.577246542378405
"h2mg","h2mg_2_80",2048,2,1.5833746135673645
"h2mg","h2mg_2_90",2048,2,1.570052579371728
"h2mg","h2mg_4_10",2048,4,3.3110681170157514
"h2mg","h2mg_4_20",2048,4,3.304195113473404
"h2mg","h2mg_4_30",2048,4,3.30550062090279
"h2mg","h2mg_4_40",2048,4,3.29554363249508
"h2mg","h2mg_4_50",2048,4,3.313971626157403
"h2mg","h2mg_4_60",2048,4,3.30653980003987
"h2mg","h2mg_4_70",2048,4,3.288369073362581
"h2mg","h2mg_4_80",2048,4,3.2883384642029267
"h2mg","h2mg_4_90",2048,4,3.2943912171241267
"h2mg","h2mg_8_10",2048,8,6.734179292228546
"h2mg","h2mg_8_20",2048,8,6.723642768624198
"h2mg","h2mg_8_30",2048,8,6.726089718706733
"h2mg","h2mg_8_40",2048,8,6.720513060831335
"h2mg","h2mg_8_50",2048,8,6.700452847539703
"h2mg","h2mg_8_60",2048,8,6.724843189152963
"h2mg","h2mg_8_70",2048,8,6.726210584516476
"h2mg","h2mg_8_80",2048,8,6.722764916061232
"h2mg","h2mg_8_90",2048,8,6.721457472916763
"h2mg","h2mg_16_10",2048,16,13.834249377700344
"h2mg","h2mg_16_20",2048,16,13.790554041817249
"h2mg","h2mg_16_30",2048,16,13.771371524198885
"h2mg","h2mg_16_40",2048,16,13.690244041773987
"h2mg","h2mg_16_50",2048,16,13.687648591733385
"h2mg","h2mg_16_60",2048,16,13.700185373052385
"h2mg","h2mg_16_70",2048,16,13.722640770840082
"h2mg","h2mg_16_80",2048,16,13.72110557842047
"h2mg","h2mg_16_90",2048,16,13.725360701818737
"h2mg","h2mg_32_10",2048,32,27.384898546913043
"h2mg","h2mg_32_20",2048,32,27.39310048961142
"h2mg","h2mg_32_30",2048,32,27.362407131423385
"h2mg","h2mg_32_40",2048,32,27.350274161486894
"h2mg","h2mg_32_50",2048,32,27.465526386820017
"h2mg","h2mg_32_60",2048,32,27.462514975165384
"h2mg","h2mg_32_70",2048,32,27.39294679984667
"h2mg","h2mg_32_80",2048,32,27.364962340700277
"h2mg","h2mg_32_90",2048,32,27.34223390141012
"h2mg","h2mg_64_10",2048,64,54.356291564913555
"h2mg","h2mg_64_20",2048,64,54.50549406536511
"h2mg","h2mg_64_30",2048,64,54.64322668421029
"h2mg","h2mg_64_40",2048,64,54.58561560556883
"h2mg","h2mg_64_50",2048,64,54.36741293775492
"h2mg","h2mg_64_60",2048,64,54.158884628499955
"h2mg","h2mg_64_70",2048,64,54.03473572845016
"h2mg","h2mg_64_80",2048,64,53.94954546804394
"h2mg","h2mg_64_90",2048,64,53.92310739287836
"h2mg","h2mg_128_10",2048,128,107.47126961885121
"h2mg","h2mg_128_20",2048,128,107.62033820899643
"h2mg","h2mg_128_30",2048,128,107.40569460495412
"h2mg","h2mg_128_40",2048,128,107.10759994522435
"h2mg","h2mg_128_50",2048,128,106.93375850903078
"h2mg","h2mg_128_60",2048,128,106.88489761533118
"h2mg","h2mg_128_70",2048,128,106.87854187378156
"h2mg","h2mg_128_80",2048,128,106.7220960926768
"h2mg","h2mg_128_90",2048,128,106.61137491447472
